+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.365832;0.0958545;0.531447;0.753932;0.244079;0.407317;0;1;0;0;0;
0.393071;0.0909462;0.494956;0.717384;0.253192;0.439175;0;1;0;0;0;
0.400842;0.111393;0.46811;0.675863;0.249925;0.460772;0;1;0;0;0;
0.425498;0.12113;0.426375;0.64396;0.239797;0.494264;0;1;0;0;0;
0.429789;0.11199;0.402535;0.5995;0.218901;0.513923;0;1;0;0;0;
0.402181;0.115322;0.382759;0.56457;0.213914;0.555305;0;1;0;0;0;
0.364685;0.12273;0.341355;0.511958;0.223915;0.576262;0;1;0;0;0;
0.329333;0.138027;0.317608;0.468484;0.20203;0.611024;0;1;0;0;0;
0.303182;0.134366;0.296238;0.434811;0.211199;0.628608;0;1;0;0;0;
0.276347;0.155913;0.265673;0.393278;0.202313;0.657001;0;1;0;0;0;
0.255196;0.146927;0.2222;0.354745;0.190364;0.687094;0;1;0;0;0;
0.224279;0.152876;0.194021;0.32584;0.186927;0.71885;0;1;0;0;0;
0.185585;0.16555;0.174835;0.271374;0.187375;0.741797;0;1;0;0;0;
0.157626;0.163095;0.141896;0.237258;0.676167;0.786919;0;0;0;0;1;
0.151025;0.18861;0.15402;0.27841;0.185364;0.659005;0;0;0;0;1;
0.146399;0.197923;0.166431;0.349455;0.188693;0.465056;0;0;0;0;1;
0.140517;0.21244;0.176156;0.44253;0.199615;0.365117;0;0;0;0;1;
0.149018;0.234871;0.201773;0.587626;0.219193;0.284038;0;0;0;0;1;
0.154332;0.251484;0.236806;0.647639;0.257555;0.234006;0;0;0;0;1;
0.161022;0.278871;0.274689;0.627581;0.285348;0.19963;0;1;0;0;0;
0.137828;0.267473;0.252321;0.596409;0.245818;0.227498;0;1;0;0;0;
0.113269;0.223625;0.221004;0.589175;0.217752;0.258523;0;1;0;0;0;
0.100057;0.206695;0.181608;0.567945;0.188854;0.290414;0;1;0;0;0;
0.0775443;0.170267;0.147797;0.53231;0.149637;0.315873;0;1;0;0;0;
0.0473541;0.146536;0.130788;0.515659;0.152696;0.338944;0;1;0;0;0;
0.0309762;0.120538;0.0950668;0.497199;0.819762;0.375553;0;0;0;0;1;
0.0465845;0.120121;0.133395;0.487027;0.152797;0.329317;0;0;0;0;1;
